商品名称,商品简介,关键词,分类,价格,市场价,成本价,会员价,库存,单位,排序,是否上架,是否热门,是否精品,是否新品,商品图片,轮播图,运费模板
存储收纳箱 家用大容量,多功能家用收纳箱 加厚塑料 防潮防尘,收纳箱,储物,家居收纳,家居用品,29.90,49.90,15.00,25.90,500,个,1,1,1,1,1,/crmebimage/public/product/box1.jpg,/crmebimage/public/product/box1.jpg,包邮
智能储物柜 电子密码锁,智能电子储物柜 密码指纹双解锁 办公家用,储物柜,智能柜,密码锁,办公家具,599.00,899.00,350.00,549.00,50,台,2,1,0,1,0,/crmebimage/public/product/cabinet1.jpg,/crmebimage/public/product/cabinet1.jpg,包邮
真空压缩袋 10件套,真空压缩袋套装 节省空间 防潮防霉,压缩袋,真空袋,收纳袋,家居用品,19.90,39.90,8.00,16.90,1000,套,3,1,1,0,1,/crmebimage/public/product/bag1.jpg,/crmebimage/public/product/bag1.jpg,包邮
多层鞋架 简易组装,家用多层鞋架 简易组装收纳 省空间,鞋架,收纳架,鞋柜,家居用品,49.90,79.90,22.00,42.90,300,个,4,1,0,1,0,/crmebimage/public/product/shoerack1.jpg,/crmebimage/public/product/shoerack1.jpg,包邮
衣物收纳抽屉 布艺,布艺折叠收纳抽屉 衣柜整理神器 多色可选,收纳抽屉,衣物收纳,抽屉,家居用品,25.90,45.90,10.00,21.90,800,个,5,1,1,0,1,/crmebimage/public/product/drawer1.jpg,/crmebimage/public/product/drawer1.jpg,包邮
厨房置物架 不锈钢,不锈钢厨房置物架 调味料收纳架 壁挂免打孔,置物架,厨房收纳,调料架,厨房用品,39.90,69.90,18.00,34.90,400,个,6,1,0,0,1,/crmebimage/public/product/shelf1.jpg,/crmebimage/public/product/shelf1.jpg,包邮
浴室转角架 三角置物架,浴室三角置物架 免打孔壁挂 卫生间收纳,三角架,浴室架,卫生间收纳,卫浴用品,35.90,59.90,15.00,29.90,350,个,7,1,1,1,0,/crmebimage/public/product/corner1.jpg,/crmebimage/public/product/corner1.jpg,包邮
文件收纳盒 A4纸档案盒,A4文件收纳盒 办公档案盒 桌面整理神器,文件盒,档案盒,办公收纳,办公用品,15.90,29.90,6.00,12.90,600,个,8,1,0,0,1,/crmebimage/public/product/filebox1.jpg,/crmebimage/public/product/filebox1.jpg,包邮
儿童玩具收纳架 卡通造型,卡通儿童玩具收纳架 多层分类整理 培养好习惯,玩具架,儿童收纳,玩具收纳,儿童用品,89.90,129.90,42.00,79.90,150,个,9,1,0,1,0,/crmebimage/public/product/toyrack1.jpg,/crmebimage/public/product/toyrack1.jpg,包邮
车载后备箱收纳箱 折叠款,车载后备箱收纳箱 可折叠大容量 防水耐磨,车载收纳,后备箱,汽车收纳,汽车用品,45.90,79.90,22.00,39.90,200,个,10,1,1,0,1,/crmebimage/public/product/carbox1.jpg,/crmebimage/public/product/carbox1.jpg,包邮
